City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,khanpur,28.6453,70.6567,38.960000000000036,10,0,1.44,PK,1681371241
364,magadan,59.5667,150.8,-1.3700000000000045,75,1,4.29,RU,1681371241
365,yulara,-25.2406,130.9889,27.189999999999998,48,100,5.9,AU,1681371242
366,belmonte,-15.8631,-38.8828,23.160000000000025,94,82,1.69,BR,1681371242
367,wanaka,-44.7,169.15,10.82000000000005,94,100,2.12,NZ,1681371243
368,vanavara,60.34,102.2797,-0.589999999999975,80,100,6.4,RU,1681371243
369,bajil,15.0584,43.2851,32.900000000000034,51,80,5.28,YE,1681371244
370,naze,28.3667,129.4833,21.510000000000048,83,5,5.82,JP,1681371244
371,varberg,57.1056,12.2508,9.57000000000005,91,100,8.09,SE,1681371245
372,frederico westphalen,-27.3592,-53.3944,15.07000000000005,85,0,0.78,BR,1681371245
373,saint george,37.1041,-113.5841,19.970000000000027,31,0,4.12,US,1681371090
374,nipawin,53.3668,-104.0009,2.0200000000000387,75,0,4.63,CA,1681371246
375,mabaruma,8.2,-59.7833,22.810000000000002,92,97,1.27,GY,1681371246
376,ibotirama,-12.1853,-43.2206,20.53000000000003,67,92,0.8,BR,1681371246
377,temax,21.15,-88.9333,19.80000000000001,87,0,0.12,MX,1681371247
378,genhe,50.7833,121.5167,1.7700000000000387,54,100,3.77,CN,1681371247
379,erdenet,49.0333,104.0833,-1.509999999999991,44,100,3.37,MN,1681371248
380,sheridan,44.8333,-106.9173,3.2100000000000364,76,0,0.0,US,1681371248
381,coracao de jesus,-16.6853,-44.365,18.54000000000002,91,18,2.15,BR,1681371249
382,farafangana,-22.8167,47.8333,27.100000000000023,71,43,1.55,MG,1681371249
383,vendas novas,38.6771,-8.4579,10.900000000000034,59,98,3.28,PT,1681371249
384,manadhoo,5.7667,73.3833,28.80000000000001,72,15,4.36,MV,1681371250
385,abha,18.2164,42.5053,20.900000000000034,43,0,6.17,SA,1681371251
386,cam ranh,11.9214,109.1591,32.98000000000002,55,20,3.6,VN,1681371251
387,urubicha,-15.3833,-62.95,21.58000000000004,99,100,1.24,BO,1681371251
388,adrar,20.5022,-10.0711,25.670000000000016,27,36,2.54,MR,1681371251
389,derzhavinsk,51.1,66.3167,17.700000000000045,32,100,5.27,KZ,1681371252
390,egvekinot,66.3167,-179.1667,-20.359999999999985,88,100,3.35,RU,1681371252
391,nanfeng,23.7434,111.7959,27.430000000000007,69,99,1.66,CN,1681371253
392,jardim,-21.4803,-56.1381,20.730000000000018,97,4,1.26,BR,1681371253
393,lebu,-37.6167,-73.65,12.189999999999998,94,73,0.39,CL,1681371254
394,kununurra,-15.7667,128.7333,29.99000000000001,84,40,5.14,AU,1681371254
395,raudeberg,61.9875,5.1352,9.370000000000005,58,100,4.91,NO,1681371254
396,otjiwarongo,-20.4637,16.6477,26.420000000000016,28,9,2.86,NA,1681371255
